id,tier,scam_type,brand,message
imc25-217,clean,"telecom","Airtel","Hi, Service Request no. 18xxxxxx8 registered for your Airtel Xstream Fiber ID 0xxxxxx2 has been resolved. We would love to have your feedback on the resolution. If you are happy with the resolution, please reply with 1 else reply with 2."
imc25-218,clean,"telecom","gcash","Greetings from:GCash AdvisoryGet ready to start your GCash Prepaid sim registration to avoid account blocking click here:"
imc25-219,clean,"telecom","Verizon","Your Verizon bill is now available. Watch a quick personalized video about your bill at"
imc25-220,clean,"telecom","MTN","Y'ello! You are not eligible for this offer. Please dial *131*1# to buy other data bundles. Thank you."
imc25-221,brand-restored,"telecom","ytel","You can trust this message came from ytel"
imc25-222,clean,"telecom","globe","Globe: You’ve won the Netflix Mug in our Giveaway.
To claim the prize, Kindly send here the six digits you received. Thank you,,"
imc25-223,brand-restored,"telecom","Netflix","Netflix, your Netflix subscription has been renewed at no charge. Confirm your details here:"
imc25-224,clean,"telecom","telstra","[Telstra Plus] Some of your points are about to expire please redeem them immediately they will be voided afterwards."
imc25-225,clean,"telecom","Airtel","MTECHVANGUARDNEWS service has been activated on your Airtel Mobile. Charges: NGN 50.0."
imc25-226,clean,"telecom","MTN","Y'ello! MTN has some important info we need to send to you. Sadly the current email address we have for you seems to be invalid. Please reply to this SMS with your valid email address to stay in touch."
imc25-227,clean,"telecom","","Your direct debit was not verified upon your last bill. Please update your details now to avoid your contract being suspended."
imc25-228,clean,"telecom","","Mobile Security Breach Warning: Warning! (4) apps have breached your mobile security. Take swift action to remove them. For assistance, click"
imc25-229,clean,"telecom","","Dear Customer, Choosing your favorite channels just became as easy as 1-2-3! The choice is in your hands. To select your channels as per the new regulations, click on the link"
imc25-230,clean,"telecom","MTN","Y'ello! Please reply with a valid email address for the decision-maker of the MTN BUSINESS account for : so we can send important updates."
imc25-231,clean,"telecom","","Wireless Customer - There was an issue processing your payment. Please update here to maintain coverage."
imc25-232,brand-restored,"telecom","Jio","Jio this side from Reliance jio your recharge now pending & no response your side so your Jio number processed for Deactivation now so check your number after some time deactivate now"
imc25-233,clean,"telecom","whatsapp","Your WhatsApp account is being registered on a new device
Do not share this code with anyone
Your WhatsApp code: 559-161"
imc25-234,clean,"telecom","rogers","Rogers has received a request to transfer your telephone number to another Service Provider. If you did not authorize, click on the following link to cancel this request."
imc25-235,clean,"telecom","BSNL","Dear BSNL user your KYC document verification is Pending please call our customer service at"
imc25-236,clean,"telecom","at&t","AT&T Free Msg:  bill processed. Thanks,  Here's a little something for you:"
imc25-237,clean,"telecom","google","(Bsc9z4kjaXE5) Google is verifying the phone# of this device as part of setup. Learn more:"
imc25-238,clean,"telecom","Amazon","**** is your Amazon OTP. Do not share it with anyone."
imc25-239,clean,"telecom","","We were unable to process your bill. Update your details to avoid suspension"
imc25-240,clean,"telecom","Airtel","Dear Customer,

Thank you for reaching out to us.

The email ID from which you have written to us is not registered against Airtel number number .

For your account security, we would request you to call us at our customer care number 121 and get your email ID registered against your number.

Warm Regards,
Bharti Airtel Ltd."
imc25-241,clean,"telecom","at&t","Congratulation ,You have been selected to get a reward from AT&T"
imc25-242,brand-restored,"telecom","T-Mobile","Uplifting news! T-MOBILE COMPANY is giving out COVID~19 REFUND $3900 to all our T-Mobile Users, and we want all our users to be aware before we close the program so all clients can guarantee their payment, Kindly text Mr. T-Mobile at (928) ***-**** and follow the instructions given to you in other to get your $2500 instantly. TEXT ONLY Thanks."
imc25-243,clean,"telecom","xfinity","You have 9 new voicemails on your xfinity account from:
Sign in to XFINITY"
imc25-244,brand-restored,"telecom","Jio","Due to recharge not done after many reminders your Jio number is going to discontinue (Permanent close )very soon. Recharge immediately\nTeam Jio"
imc25-245,clean,"telecom","","Connection is currently subscribed to the following Value added services. Dial #678#6# to manage."
imc25-246,clean,"telecom","BSNL","Dear CustomerYour this BSNL Mobile number is found suspected due to misuse of telecom resources as Spam text message / Telecom Phishing / UCC / Robo or Automated calls & more than 9 connections on same name according to DoT instructions. For reverificationkindly visit nearest BSNL Customer Service Center with POI documents or contact {MPCC}"
imc25-247,clean,"telecom","Vodafone","From Vodafone: Payment for your latest bill could not be processed by your bank. Please update your payment information via:"
imc25-248,clean,"telecom","whatsapp","Your WhatsApp account is being registered on a new device. Do not share this code with anyone."
imc25-249,clean,"telecom","ee","[EE]:We were unable to process your latest bill. In order to avoid fees, update your billing information via:"
imc25-250,brand-restored,"telecom","HDFC Bank","ALERT: We have received your request to register HDFC Bank for HDFC Bank BillPay service against"
imc25-251,clean,"telecom","british gas","from British Gas. Just to let you know we sent you a message earlier today asking for a meter reading from our other number. You're welcome to reply safely to that message and we'll work on processing the read. Thanks, your British Gas team"
imc25-252,brand-restored,"telecom","gcash","Hi! gcash Registered:  In Accordance to Sim Registration Act We temporarily restrict any transactions/actions with your GCash Wallet. To reinstate the said feature Kindly take part on our sim card pre-registration. Additional Instructions should be given upon proceeding with the process. Please click or visit the following link to start."
imc25-253,clean,"wrong number","","Lily see the message and reply me Why are you so busy all the time don't you rest at night? 🍷😆 :)"
imc25-254,brand-restored,"wrong number","natalie","ohh sorry i must made a mistake and enter the wrong number hope i didn't bother you because I'm natalie"
imc25-255,clean,"wrong number","","Hi, are you ___ who played golf together last time? I’m Lisa"
imc25-256,clean,"wrong number","","Did you lose your voice that you can never answer?"
imc25-257,clean,"wrong number","","Hello JackWhat are you doing now? Do you still remember me?"
imc25-258,clean,"wrong number","","whatsapp://chat/join/?code=KitRluT3zBxDiLOCMxnDsN&nkdc=qafokl my ears so that I could"
imc25-259,clean,"wrong number","","Hope you still have this house available on facebook because i really want it so bad! http"
imc25-260,clean,"wrong number","","You should communicate better. Your name alone doesn’t tell me anything. I receive tens of messages."
imc25-261,clean,"wrong number","","You 4got 2 call last nite after the bar:( I really hoped we would have a fun nite last nite."
imc25-262,clean,"wrong number","","Hey babe, what r you up to? I'm home alone, u want to come by? Text me:"
imc25-263,clean,"wrong number","","I think I'm going to take care of my skin do you want to accompany me?"
imc25-264,clean,"wrong number","","I sent money to the wrong person (single digit error)."
imc25-265,brand-restored,"wrong number","yourcompanynamehere","Hi, My name is yourcompanynamehere. My wife, saw this post on your YOUR_COMPANY_NAME_HERE and she is interested about this"
imc25-266,brand-restored,"wrong number","molly","Thank you for understanding, you are a kind person, we met in the wrong way, this is fate, my name is molly, what is your name?"
imc25-267,clean,"wrong number","","Honey I hope you don't forget our promise to go to church."
imc25-268,clean,"wrong number","","Hi,I'm EMMA.I saw your ad on ""YOUR_COMPANY_NAME_HERE"" - "" Contact me here,I'M VERY INTERESTED"
imc25-269,clean,"wrong number","","Hello who are you? Why are you in my address book I travel a lot have we met? Can you tell me your name? thanks"
imc25-270,clean,"wrong number","","I found this property on marketpleace, is still available? http"
imc25-271,clean,"wrong number","","Hello,I just see your property listed on your fb"
imc25-272,clean,"wrong number","","Hi, can you give me more details about the post I found on  f.b https"
imc25-273,clean,"wrong number","","Hi,I haven't heard from you for a long time. Due to the new coronavirus, I cannot go to you. Please add my new number."
imc25-274,clean,"wrong number","","Who is this if I don't know you please stop texting me before I report it to the police"
imc25-275,clean,"wrong number","","Please send me your mobile number right away."
imc25-276,clean,"wrong number","","Hi, can you tell me more about the post I found on  facebook page"
imc25-277,clean,"wrong number","","Hi baby, here are the photos I wanted to share with you. Let me know what you think..."
imc25-278,brand-restored,"wrong number","tcwglobal","Hi, tcwglobal
Let me know if you receive this text.
Thanks
tcwglobal (CEO) TCWGlobal."
imc25-279,clean,"wrong number","","I'm sorry to have bothered you and if no one has told you before please keep a clear head every day no matter what comes your way."
imc25-280,clean,"wrong number","","Yes I used the first step where you sent me the link that's what I used"
imc25-281,clean,"wrong number","","It's been a lil bit since u called, do u want me yet?"
imc25-282,clean,"wrong number","","I'm reaching out about thepost on YOUR_COMPANY_NAME_HERE"
imc25-283,clean,"wrong number","","I'm sorry to bother you, I read your profile on linkedin and I'd love to learn from industry stalwarts like you from each other"
imc25-284,brand-restored,"wrong number","dr jack","Dr. dr jack! My puppy is very slow moving and won't eat dog food. Can you make an appointment for me?"
imc25-285,clean,"wrong number","","Hi, I'm interested in your ad when we can meet to see this property? https"
imc25-286,clean,"wrong number","","Hi, I would like to see this property, Is still available? http"
imc25-287,clean,"wrong number","","Hey, is the item I found still available?  https"
imc25-288,clean,"wrong number","","Hi, Is this house I saw on your fb realtor page still for sale ?"
imc25-289,clean,"wrong number","","Inquiring around a house I saw on a genuine domain agent's page"
imc25-290,brand-restored,"wrong number","facebook","Hello, I'm reaching out about  the post on realtor facebook page"
imc25-291,clean,"wrong number","","I missed a call from this number who are you looking for?"
imc25-292,clean,"wrong number","","As per our conversation your issue is resolved."
